event1,event2,origincorrection,CC
2005-02-26T09:34:07.0,2005-09-16T23:14:26.0,0.2677,0.93
2005-02-26T09:34:07.0,2006-07-25T17:45:15.0,-3.0436,0.93
2005-02-26T09:34:07.0,2007-02-21T16:59:45.0,-3.811,0.9
2005-02-26T09:34:07.0,2008-03-12T11:51:09.0,-4.487,0.93
2005-02-26T09:34:07.0,2009-11-22T19:45:52.0,-1.8911,0.92
2005-02-27T17:42:42.0,2005-06-06T07:11:13.0,-2.048,0.94
2005-02-27T17:42:42.0,2005-08-16T22:32:57.0,-0.6779,0.95
2005-02-27T17:42:42.0,2005-11-01T19:10:27.0,0.7159,0.92
2005-02-27T17:42:42.0,2006-02-08T09:08:34.0,-4.0216,0.95
2005-02-27T17:42:42.0,2006-05-16T23:16:29.0,-4.0643,0.92
2005-02-27T17:42:42.0,2006-08-30T01:57:17.0,-3.6275,0.91
2005-02-27T17:42:42.0,2008-03-23T14:36:34.0,-2.9301,0.93
2005-02-27T17:42:42.0,2008-08-10T17:15:43.0,-4.6965,0.96
2005-02-27T17:42:42.0,2008-10-06T12:30:48.0,-2.7668,0.9
2005-02-27T17:42:42.0,2009-09-04T03:09:57.0,-2.1763,0.94
2005-02-27T17:42:42.0,2010-04-26T12:02:34.0,-2.8803,0.95
2005-02-27T17:42:42.0,2011-02-13T12:13:31.0,-2.3788,0.92
2005-02-27T17:42:42.0,2011-12-02T08:07:39.0,-2.1565,0.92
2005-02-27T17:42:42.0,2012-10-31T09:56:27.0,-2.627,0.94
2005-02-27T17:42:42.0,2013-05-15T19:59:43.0,-2.4454,0.93
2005-02-27T17:42:42.0,2014-01-31T19:19:45.0,-1.9794,0.93
2005-02-27T17:42:42.0,2016-09-18T09:35:26.0,-3.0442,0.91
2005-02-27T21:39:01.0,2005-04-22T07:30:50.0,-0.4156,0.94
2005-02-27T21:39:01.0,2005-10-07T08:08:09.0,-0.7523,0.96
2005-02-27T21:39:01.0,2006-06-09T08:29:16.0,-4.0214,0.93
2005-02-27T21:39:01.0,2008-04-04T08:28:59.0,-3.0555,0.96
2005-02-27T21:39:01.0,2009-10-29T16:44:56.0,-1.8322,0.96
2005-02-27T21:39:01.0,2011-10-19T19:37:53.0,-3.2056,0.91
2005-02-27T21:39:01.0,2011-10-19T19:51:52.0,-2.7288,0.9
2005-02-27T21:39:01.0,2015-05-27T16:16:41.0,-1.3518,0.94
2005-02-27T21:39:01.0,2015-05-27T16:31:12.0,-2.8255,0.91
2005-03-01T03:45:31.0,2005-06-21T06:48:41.0,0.0126,0.94
2005-03-01T03:45:31.0,2006-03-15T14:27:56.0,-2.9768,0.95
2005-03-01T03:45:31.0,2006-11-16T03:14:30.0,-4.018,0.93
2005-03-01T03:45:31.0,2008-12-05T13:51:52.0,-5.0628,0.95
