pstation,event1,event2,reason
MY.KUM..BHZ,2005-02-27T17:42:42,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2006-02-08T09:08:34,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2006-05-16T23:16:29,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2008-08-10T17:15:43,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2009-09-04T03:09:57,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2011-12-02T08:07:39,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2012-10-31T09:56:27,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2014-01-31T19:19:45,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2017-12-25T03:38:12,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2005-03-22T01:36:50,2009-01-16T10:28:37,invovles suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2005-05-04T15:07:29,2009-01-16T10:28:37,invovles suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2005-08-19T13:05:09,2009-01-16T10:28:37,invovles suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2006-01-11T08:50:10,2009-01-16T10:28:37,invovles suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2007-01-09T08:57:29,2009-01-16T10:28:37,invovles suspect event 2009-01-16T10:28:37
