time,latitude,longitude
2007-01-30T19:18:22.74,39.8645,143.2364
2007-02-24T20:38:50.40,38.24,141.69
2007-04-30T14:17:54.80,39.062,142.3034
2007-05-26T16:51:42.99,39.1277,143.257
2007-05-28T22:36:09.43,39.6336,142.1172
2007-06-30T13:04:02.50,38.86,142.05
2007-08-09T01:50:20.40,38.82,141.58
2007-08-13T03:34:12.70,38.31,141.89
2007-08-15T10:34:49.04,39.7267,141.8568
2007-09-14T23:16:32.80,37.88,142.47
2007-09-23T03:36:29.20,39.04,140.93
2007-10-01T08:18:03.50,37.25,142.13
2007-10-20T08:36:35.82,37.1679,141.5017
2007-10-25T20:36:29.60,38.3,141.85
2007-10-27T00:31:13.40,38.91,142.08
2007-11-06T09:42:12.20,37.17,141.39
2007-12-03T02:46:45.10,38.62,142.17
2007-12-14T16:47:15.30,38.98,142.21
2007-12-15T04:18:16.54,39.6236,142.0184
2008-01-09T20:46:30.77,38.4562,142.209
2008-01-10T23:00:31.66,39.3565,141.9883
2008-01-13T14:00:03.21,39.1724,143.2615
2008-01-13T21:07:08.64,38.8842,142.0293
2008-01-19T12:22:50.70,38.78,141.64
2008-01-24T14:27:08.47,37.5191,142.8968
2008-01-24T16:07:02.22,37.4402,142.8856
2008-01-25T15:56:22.83,38.7552,142.3388
2008-01-31T04:08:41.23,37.4245,143.0981
2008-01-31T14:55:53.55,37.4102,143.0906
2008-02-03T05:25:18.45,37.5026,143.009
2008-02-05T09:51:15.20,37.93,142.48
2008-02-07T01:32:01.86,38.8206,141.7476
2008-03-07T05:30:39.79,38.8442,141.836
2008-03-11T23:35:16.50,38.73,142.25
2008-03-12T22:39:54.90,38.24,141.69
2008-03-19T20:06:22.90,38.28,141.91
2008-03-22T09:11:05.80,37.11,142.28
2008-04-08T23:52:07.49,38.8595,141.7687
2008-04-18T21:36:31.61,37.114,141.6404
2008-05-03T10:48:10.50,38.62,141.91
2008-05-03T12:06:19.84,39.6627,142.1693
2008-05-12T17:45:36.92,37.2584,142.3322
2008-05-28T17:19:11.30,38.99,140.59
2008-06-01T15:58:28.88,38.3349,141.8973
2008-06-04T00:54:56.30,38.71,141.05
2008-06-13T23:53:42,39.03,140.85
2008-06-13T23:54:37.40,39.1,140.84
2008-06-13T23:55:33.60,39.04,140.84
2008-06-13T23:56:26.80,38.97,140.89
2008-06-13T23:56:46.68,39.1004,140.9681
2008-06-13T23:57:11.90,38.89,140.73
2008-06-13T23:57:46,39.09,140.95
2008-06-13T23:58:33,38.9,140.87
2008-06-13T23:58:36.70,39.08,140.94
2008-06-13T23:58:44,38.78,140.71
2008-06-13T23:59:42,39.15,140.94
2008-06-14T00:00:07.53,38.7615,140.7886
2008-06-14T00:02:46.40,38.91,140.88
2008-06-14T00:04:08.10,39.0,140.89
2008-06-14T00:04:33.10,38.91,140.78
2008-06-14T00:05:16.80,39.04,140.85
2008-06-14T00:06:22.75,39.0062,140.8706
2008-06-14T00:08:01.87,38.8386,140.8084
2008-06-14T00:09:19.10,38.99,140.86
2008-06-14T00:09:47.70,39.04,140.85
2008-06-14T00:14:33.50,38.77,140.72
2008-06-14T00:15:42.90,38.89,140.87
2008-06-14T00:16:56,39.0,140.87
2008-06-14T00:18:13.79,39.14,140.9432
2008-06-14T00:18:39.80,39.03,140.86
2008-06-14T00:19:13.60,38.85,140.84
2008-06-14T00:22:07.60,38.99,140.78
2008-06-14T00:23:05.80,38.98,140.85
2008-06-14T00:23:33,38.8,140.74
2008-06-14T00:23:46.70,38.82,140.81
