station,event1,latitude1,longitude1,event2,latitude2,longitude2,Δτ,cc
PS.PSI..BHZ,2004-12-27T00:15:39.37,2.2368,96.2759,2008-09-29T20:21:36.91,2.2767,96.1323,-1.8503915387317695,0.9674068131687392
PS.PSI..BHZ,2004-12-27T13:34:25.06,2.8167,95.6585,2009-02-07T12:51:07.44,2.7963,95.5276,-0.309199239330026,0.9135016155205413
PS.PSI..BHZ,2004-12-27T13:34:25.06,2.8167,95.6585,2012-07-18T05:00:19.21,2.6616,95.4653,-0.2853124835352143,0.9203714367514315
PS.PSI..BHZ,2004-12-27T13:34:25.06,2.8167,95.6585,2015-08-28T15:29:24.86,2.7396,95.5518,0.28457973293223615,0.9299023191680241
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2005-01-07T16:57:10.94,2.8161,95.9692,-4.354982228998062,0.9404078294364179
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2005-05-12T15:03:44.95,2.5846,95.6895,-2.184970038738097,0.9363574807964988
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-01-07T15:54:21.75,2.4972,95.5657,0.5703062688232297,0.9195623654335855
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-01-24T03:49:01.0,2.7443,95.5089,-3.3380711336062925,0.9527908996976474
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-03-01T03:45:32.99,2.7437,95.7206,-4.429144950479273,0.9564974016254996
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-06-21T06:48:41.09,2.45,95.6095,-2.5149650079243564,0.9723148796454657
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2008-12-05T13:51:48.93,2.6841,95.6982,-4.425947110726078,0.9545701000114931
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2014-04-13T05:48:06.84,2.653,95.6129,-3.781378557958053,0.9494006844403996
PS.PSI..BHZ,2005-01-07T15:54:21.75,2.4972,95.5657,2005-01-24T03:49:01.0,2.7443,95.5089,-3.9055691345051056,0.9068095102482348
PS.PSI..BHZ,2005-01-07T15:54:21.75,2.4972,95.5657,2005-03-01T03:45:32.99,2.7437,95.7206,-4.998037293106285,0.9309897922862862
PS.PSI..BHZ,2005-01-07T15:54:21.75,2.4972,95.5657,2008-12-05T13:51:48.93,2.6841,95.6982,-4.997221002050967,0.92050866895504
PS.PSI..BHZ,2005-01-07T15:54:21.75,2.4972,95.5657,2014-04-13T05:48:06.84,2.653,95.6129,-4.350896318682047,0.9236129059949402
PS.PSI..BHZ,2005-01-07T16:57:10.94,2.8161,95.9692,2005-05-12T15:03:44.95,2.5846,95.6895,2.1702535389418114,0.9466100436907158
PS.PSI..BHZ,2005-01-08T04:40:36.44,2.8418,95.7011,2005-01-22T11:39:44.54,2.6031,95.5394,1.3392603751705643,0.9694804525463551
PS.PSI..BHZ,2005-01-08T04:40:36.44,2.8418,95.7011,2005-02-06T07:34:32.23,2.7673,95.6222,0.14470023798801313,0.9617465547434413
PS.PSI..BHZ,2005-01-08T04:40:36.44,2.8418,95.7011,2005-07-04T15:16:27.9,2.9409,95.5858,-0.519131280199588,0.9458949179237515
PS.PSI..BHZ,2005-01-08T04:40:36.44,2.8418,95.7011,2005-12-11T00:42:12.01,2.6737,95.5286,0.401315603102413,0.9465549134780817
PS.PSI..BHZ,2005-01-11T07:45:16.24,2.5848,95.8315,2005-07-13T09:39:57.05,2.5186,95.778,4.0888546720495125,0.947574294777002
PS.PSI..BHZ,2005-01-11T07:45:16.24,2.5848,95.8315,2005-12-27T01:54:36.44,2.594,95.7904,-0.18552263991599494,0.979609750659921
PS.PSI..BHZ,2005-01-11T07:45:16.24,2.5848,95.8315,2008-04-10T03:14:29.99,2.5199,95.7195,0.5197655166893467,0.9783103131987878
PS.PSI..BHZ,2005-01-11T08:31:30.46,2.9611,96.3124,2005-05-04T11:57:06.75,2.9243,96.2334,1.0838163460349421,0.9831574071585537
PS.PSI..BHZ,2005-01-12T14:36:12.11,2.5522,95.8882,2005-02-27T17:42:43.46,2.5296,95.7461,2.073606764614524,0.9859683370515692
PS.PSI..BHZ,2005-01-12T14:36:12.11,2.5522,95.8882,2005-06-06T07:11:14.66,2.5936,95.862,-0.16048492794830505,0.9782187999946172
PS.PSI..BHZ,2005-01-12T14:36:12.11,2.5522,95.8882,2009-01-14T22:46:09.61,2.5846,96.0293,-0.16020497792708,0.947988240417857
PS.PSI..BHZ,2005-01-12T14:36:12.11,2.5522,95.8882,2012-10-31T09:56:27.4,2.4838,95.7833,0.5113062273610415,0.9800172052875591
PS.PSI..BHZ,2005-01-12T14:36:12.11,2.5522,95.8882,2014-01-31T19:19:45.67,2.5169,95.7572,0.8865387624145359,0.9804376340167026
PS.PSI..BHZ,2005-01-22T11:39:44.54,2.6031,95.5394,2005-02-06T07:34:32.23,2.7673,95.6222,-1.194587223703079,0.9882650934512274
PS.PSI..BHZ,2005-01-22T11:39:44.54,2.6031,95.5394,2005-05-17T03:35:58.85,2.7344,95.6388,-1.8099003423510958,0.9739458412426759
PS.PSI..BHZ,2005-01-22T11:39:44.54,2.6031,95.5394,2005-07-04T15:16:27.9,2.9409,95.5858,-1.8588898352999854,0.9762183676779941
PS.PSI..BHZ,2005-01-22T11:39:44.54,2.6031,95.5394,2005-09-28T14:36:47.64,3.0262,95.7731,-3.997449663070772,0.9648992874250834
PS.PSI..BHZ,2005-01-22T11:39:44.54,2.6031,95.5394,2005-12-11T00:42:12.01,2.6737,95.5286,-0.9376805154267,0.9716909732641109
