station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2004-12-27T00:15:39.37,2008-09-29T20:21:36.91,"[-2.621444054593487, -2.5059496112380044]","[-2.162649184906681, -2.1822632579125325]","[-1.7106116803569058, -1.8543547533705935]","[0.6449073946091897, 0.4995153518792079]","[0.8087438766026318, 0.6113054969710341]","[0.4178542527821286, 0.3653075132578987]","[-2.162649184906681, -2.1822632579125325]"
II.DGAR.00.BHZ,2004-12-27T13:34:25.06,2009-02-07T12:51:07.44,"[-0.918037607329392, -0.7735072661341358]","[-0.4476126516671458, -0.42259434715872846]","[0.023403686717176936, -0.07755583541726008]","[0.7861240026476112, 0.3061669440732808]","[0.8699272548159847, 0.6932520526188597]","[0.7987694009227129, 0.6194899855124147]","[-0.4476126516671458, -0.42259434715872846]"
II.DGAR.00.BHZ,2004-12-27T13:34:25.06,2012-07-18T05:00:19.21,"[-1.0451733054094077, -0.9485566974205821]","[-0.5804843373495856, -0.5993273774584464]","[-0.11201589775691556, -0.25126967495040686]","[0.6962521687084725, 0.5172201015369882]","[0.7590826935868504, 0.6419629032163678]","[0.6756773912763757, 0.3810092472639776]","[-0.5804843373495856, -0.5993273774584464]"
II.DGAR.00.BHZ,2004-12-27T13:34:25.06,2015-08-28T15:29:24.86,"[-0.7826612235569923, -0.7214833910120789]","[-0.31226160896274546, -0.3739566978747664]","[0.1639630159641936, -0.03917147152942657]","[0.7871082241964654, 0.535458164394879]","[0.8100623506007534, 0.5716573670528547]","[0.7011609844932865, 0.23379218431858118]","[-0.31226160896274546, -0.3739566978747664]"
II.DGAR.00.BHZ,2004-12-31T21:22:02.46,2005-01-07T16:57:10.94,"[-4.8248831179994704, -4.734661894217998]","[-4.3733394910159085, -4.395750101511187]","[-3.920348860565133, -4.06066842132614]","[0.5557735974993215, 0.7139732005869306]","[0.6568701840095073, 0.7921297864239586]","[0.47630065125406323, 0.5779870446914694]","[-4.3733394910159085, -4.395750101511187]"
II.DGAR.00.BHZ,2004-12-31T21:22:02.46,2005-05-12T15:03:44.95,"[-2.9184887191090843, -2.8541743361374956]","[-2.4810953863471648, -2.5210167430490613]","[-2.041702729256824, -2.186989173074768]","[0.6965043721440125, 0.7931964018098975]","[0.7884487436083469, 0.7914163792297867]","[0.45566907971286963, 0.5796705151522207]","[-2.4810953863471648, -2.5210167430490613]"
II.DGAR.00.BHZ,2004-12-31T22:22:27.77,2005-01-07T15:54:21.75,"[0.087898757521767, 0.20833173043724784]","[0.545658744349663, 0.5356208624298487]","[0.9968931847764971, 0.8657688450369848]","[0.5326112352920036, 0.7938607337014543]","[0.6253976540333989, 0.9017019974542168]","[0.45859417759540694, 0.7786722375373892]","[0.545658744349663, 0.5356208624298487]"
II.DGAR.00.BHZ,2004-12-31T22:22:27.77,2005-01-24T03:49:01.0,"[-3.7045973516914934, -3.5741151603555146]","[-3.2480263207613946, -3.2394713441318452]","[-2.793279678941072, -2.9082033853332465]","[0.665835187176725, 0.7522383384346739]","[0.8588745281576724, 0.8935974419437971]","[0.7172123508945351, 0.7965247622100058]","[-3.2480263207613946, -3.2394713441318452]"
II.DGAR.00.BHZ,2004-12-31T22:22:27.77,2005-03-01T03:45:32.99,"[-5.216989926801049, -5.106821925474957]","[-4.758025434543646, -4.772193313123939]","[-4.296377747535879, -4.439628969519254]","[0.7535997121364512, 0.7558627844074108]","[0.8864583893922654, 0.866668904857291]","[0.6963642427568754, 0.7404382250198492]","[-4.758025434543646, -4.772193313123939]"
II.DGAR.00.BHZ,2004-12-31T22:22:27.77,2005-06-21T06:48:41.09,"[-3.327400403601582, -3.2559841084147125]","[-2.865039630063417, -2.927304975473693]","[-2.3875042039769685, -2.601640569016759]","[0.6008239417177669, 0.7625605830731947]","[0.6963505866651254, 0.738973240064198]","[0.5613951074211965, 0.5466188256794035]","[-2.865039630063417, -2.927304975473693]"
