station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2004-12-27T00:15:39.37,2008-09-29T20:21:36.91,"[-2.590083470628385, -2.5135960511238387]","[-2.16487618653111, -2.172526359575165]","[-1.7440297267154603, -1.8321069934326766]","[0.7007914677859196, 0.4494452156975774]","[0.8819612186099411, 0.5706803302505297]","[0.5070798951475638, 0.4707429258799379]","[-2.16487618653111, -2.172526359575165]"
H08S2,2004-12-27T13:34:25.06,2009-02-07T12:51:07.44,"[-0.8104182781256342, -0.673712911343391]","[-0.3748541605853111, -0.34320933823881206]","[0.06019715145581192, -0.013683143726500238]","[0.42993996902324555, 0.4408499350915134]","[0.7473798782734105, 0.6352072396543168]","[0.6212603082166693, 0.6237478021363577]","[-0.3748541605853111, -0.34320933823881206]"
H08S2,2004-12-27T13:34:25.06,2012-07-18T05:00:19.21,"[-0.972081483896503, -0.8850084495548071]","[-0.5335586734303001, -0.5472833387452234]","[-0.0994953409386527, -0.20681661977023072]","[0.5736658421032229, 0.5304891155282927]","[0.7744718310732229, 0.5665455045426753]","[0.5060752613894565, 0.39017608646834523]","[-0.5335586734303001, -0.5472833387452234]"
H08S2,2004-12-27T13:34:25.06,2015-08-28T15:29:24.86,"[-0.7098118942170991, -0.6624849128108781]","[-0.274104598399556, -0.32573933886732725]","[0.16953578671932126, 0.010149149901958735]","[0.5912538351079469, 0.62842316740799]","[0.6463910002229492, 0.5856241201148528]","[0.3346451006846093, 0.41182594715804655]","[-0.274104598399556, -0.32573933886732725]"
H08S2,2004-12-31T21:22:02.46,2005-01-07T16:57:10.94,"[-4.802830513852342, -4.727659321425589]","[-4.366401693141805, -4.395685117834835]","[-3.9253444353765135, -4.062710788238876]","[0.6328047803581492, 0.7755025380663004]","[0.8626582759905206, 0.8428518889366201]","[0.39890709471480923, 0.6227020495980093]","[-4.366401693141805, -4.395685117834835]"
H08S2,2004-12-31T21:22:02.46,2005-05-12T15:03:44.95,"[-2.9003883033588385, -2.8395995233999503]","[-2.4638734273998044, -2.5072740107010016]","[-2.032437749863144, -2.175125691720601]","[0.7531091916921695, 0.6688217478558257]","[0.8113394155486104, 0.69718210421647]","[0.354774044748173, 0.518963893054419]","[-2.4638734273998044, -2.5072740107010016]"
H08S2,2004-12-31T22:22:27.77,2005-01-07T15:54:21.75,"[0.12146383130362787, 0.22877596694633626]","[0.5406009078446005, 0.5426332239070774]","[0.956925986158167, 0.855400257255815]","[0.5121434264733185, 0.7674824048682993]","[0.8507661252068047, 0.9084688984151029]","[0.6459928777989559, 0.6730709688675356]","[0.5406009078446005, 0.5426332239070774]"
H08S2,2004-12-31T22:22:27.77,2005-01-24T03:49:01.0,"[-3.6752812987371146, -3.5658883740904592]","[-3.2579053930831687, -3.2456426066942012]","[-2.838592052317603, -2.9262826108893223]","[0.448336002324036, 0.6374018653029504]","[0.855641906232886, 0.8236904311155643]","[0.6993511899606536, 0.667028999693299]","[-3.2579053930831687, -3.2456426066942012]"
H08S2,2004-12-31T22:22:27.77,2005-03-01T03:45:32.99,"[-5.168128663609345, -5.090532647524122]","[-4.747779108545539, -4.758268012800727]","[-4.327076894198544, -4.419006552178823]","[0.6141320616178072, 0.5938782764784999]","[0.9039241347886474, 0.632819672828706]","[0.6652779595431509, 0.44264084151727306]","[-4.747779108545539, -4.758268012800727]"
H08S2,2004-12-31T22:22:27.77,2005-06-21T06:48:41.09,"[-3.272726077133297, -3.2168829688561016]","[-2.844752032599376, -2.8931256869076734]","[-2.4137079036009985, -2.5701400876587814]","[0.7597714161779144, 0.6828799670911162]","[0.816747570411198, 0.6870983933949436]","[0.4396820282900531, 0.42372386850342386]","[-2.844752032599376, -2.8931256869076734]"
