station,event1,latitude1,longitude1,event2,latitude2,longitude2,Δτ,cc
PS.PSI..BHZ,2004-12-27T00:15:39.37,2.2368,96.2759,2005-04-02T05:55:04.58,2.1782,96.1989,0.830496418833607,0.9802481485286885
PS.PSI..BHZ,2004-12-27T00:15:39.37,2.2368,96.2759,2008-09-29T20:21:36.91,2.2767,96.1323,-1.8701739435089622,0.9950954160200363
PS.PSI..BHZ,2004-12-27T13:34:25.06,2.8167,95.6585,2009-02-07T12:51:07.44,2.7963,95.5276,-0.3288869178548859,0.9399739318025853
PS.PSI..BHZ,2004-12-27T13:34:25.06,2.8167,95.6585,2012-07-18T05:00:19.21,2.6616,95.4653,-0.3046165205211251,0.9633948806003034
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2005-01-07T16:57:10.94,2.8161,95.9692,-4.355222490432604,0.9549326393184329
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2005-05-12T15:03:44.95,2.5846,95.6895,-2.1850909565522274,0.9714393512103919
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2005-06-30T01:42:22.77,1.7491,96.0007,7.933427790878205,0.9519321439141479
PS.PSI..BHZ,2004-12-31T21:22:02.46,2.8333,95.746,2008-07-28T01:26:57.37,2.7508,95.7888,-3.4212699410115155,0.9365705648574106
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-01-07T15:54:21.75,2.4972,95.5657,0.5702301910744135,0.9245892259033428
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-01-24T03:49:01.0,2.7443,95.5089,-3.338163036348684,0.9699244017993361
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-03-01T03:45:32.99,2.7437,95.7206,-4.429649258585904,0.961732622224174
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2005-06-21T06:48:41.09,2.45,95.6095,-2.514693018015853,0.9789962524356118
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2008-12-05T13:51:48.93,2.6841,95.6982,-4.426138547881019,0.9645160854143302
PS.PSI..BHZ,2004-12-31T22:22:27.77,2.5854,95.5427,2014-04-13T05:48:06.84,2.653,95.6129,-3.7815626425443085,0.9613885375615226
