event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20000929074228 20140728092700 0.86   -3.66950   2.23  99.37 183.90   1.73  99.55 179.60
20001223163908 20050404111323 0.91    1.34000   1.69  97.02  35.20   1.65  97.01  26.90
20001223163908 20050502150238 0.89    1.79430   1.69  97.02  35.20   1.63  97.00  27.60
20001223163908 20050704110702 0.93    2.13000   1.69  97.02  35.20   1.61  96.96  23.30
20001223163908 20050921072339 0.91    1.21330   1.69  97.02  35.20   1.62  97.00  27.00
20001223163908 20060419195104 0.92   -0.14050   1.69  97.02  35.20   1.55  96.93  26.00
20001223163908 20061128074416 0.89   -2.08120   1.69  97.02  35.20   1.69  96.93  35.60
20001223163908 20090319023241 0.94   -0.86210   1.69  97.02  35.20   1.58  96.79  31.40
20001223163908 20100703015753 0.91    0.61420   1.69  97.02  35.20   1.48  96.83  27.10
20001223163908 20130926200931 0.95    0.32120   1.69  97.02  35.20   1.60  96.86  28.00
20010420062744 20110110201318 0.87   -0.71190   1.99  96.65  33.00   2.00  96.69  33.10
20010420062744 20160212153346 0.91   -0.57030   1.99  96.65  33.00   1.97  96.67  28.00
20010929191721 20050623032621 0.87   -6.59770   1.19  98.63  33.00   1.76  98.92 111.40
20010929191721 20050823123909 0.87    5.04550   1.19  98.63  33.00   1.21  98.01  30.00
20010929191721 20130218120147 0.88   -9.94500   1.19  98.63  33.00   1.91  99.02 123.20
20010929191721 20150419184025 0.85   -9.86860   1.19  98.63  33.00   1.90  98.96 124.00
20010929191721 20170318121208 0.88    0.48540   1.19  98.63  33.00   1.45  98.49  35.00
20011116154751 20050227090036 0.88   -3.46050   1.01  97.17  30.00   1.01  97.17  30.00
20011116154751 20080316014044 0.86   -3.27600   1.01  97.17  30.00   1.01  97.17  30.00
20011231055517 20110821081800 0.91    1.41180   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20050410022416 0.85    4.07550   1.01  97.17  30.00   1.56  97.35  33.00
20020201105631 20050623032520 0.88    5.59540   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20090325082834 0.86   -6.86500   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20100104145602 0.85    4.12800   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20101011090609 0.91    3.75780   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20130218120044 0.90    4.28770   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20140118180101 0.89    6.83290   1.01  97.17  30.00   2.27  96.32  30.00
20020201105631 20150419183921 0.93    5.35110   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20170224082156 0.91    0.18270   1.01  97.17  30.00   1.01  97.17  30.00
20020201105631 20170523214925 0.89    1.94640   1.01  97.17  30.00   1.01  97.17  30.00
20020201105730 20050623032621 0.86    3.62830   1.81  99.02 138.80   1.76  98.92 111.40
20020201105730 20051119131800 0.88    1.74820   1.81  99.02 138.80   1.77  98.90 119.10
20020201105730 20051122153634 0.89   -4.31710   1.81  99.02 138.80   1.65  99.38 168.60
20020201105730 20051226061849 0.87   -7.85350   1.81  99.02 138.80   1.65  99.47 168.50
20020201105730 20060519174152 0.85    2.51360   1.81  99.02 138.80   1.77  98.79 111.00
20020201105730 20061123204237 0.85   -9.10220   1.81  99.02 138.80   1.63  99.48 173.80
20020201105730 20070519172818 0.85   -1.31340   1.81  99.02 138.80   1.98  99.08 139.50
20020201105730 20070815153033 0.87   -8.04780   1.81  99.02 138.80   1.62  99.48 162.30
20020201105730 20091114093037 0.87    2.27910   1.81  99.02 138.80   1.76  98.96 100.00
20020201105730 20091227002758 0.87   -1.44410   1.81  99.02 138.80   2.03  98.92 150.00
20020201105730 20100104145707 0.85   -1.88940   1.81  99.02 138.80   2.00  98.96 150.00
20020201105730 20100403145002 0.86   -0.37530   1.81  99.02 138.80   1.82  98.93 134.90
20020201105730 20101011090713 0.89   -1.23790   1.81  99.02 138.80   2.00  98.97 150.00
20020201105730 20130218120147 0.87    0.28180   1.81  99.02 138.80   1.91  99.02 123.20
20020201105730 20140907181329 0.90   -1.66290   1.81  99.02 138.80   2.01  98.96 150.00
20020201105730 20150419184025 0.91    0.36580   1.81  99.02 138.80   1.90  98.96 124.00
20020201105730 20151007220051 0.85   -5.95710   1.81  99.02 138.80   2.07  99.77 150.00
20020201105730 20160529175618 0.85   -1.47970   1.81  99.02 138.80   2.02  98.92 150.00
